date,ticker,score,verdict,s1_trend,s2_fund,s3_risk,s4_news,entry,stop,target_1r,target_2r,why,headline
2026-08-21,JKPAPER,5,DROP,False,False,True,True,391.8,375.0,408.6,425.4,"failed: Trend & RS, Fundamentals",Is It Smart To Buy JK Paper Limited (NSE:JKPAPER) Before It Goes Ex-Dividend? - simplywall.st
2026-08-21,SOTL,4,DROP,True,False,False,True,677.3,666.95,687.65,698.0,"failed: Fundamentals, Risk",Savita Oil Technologies (NSE:SOTL) Could Be A Buy For Its Upcoming Dividend - simplywall.st
2026-08-21,KEI,4,DROP,True,False,True,True,5527.6,5492.6,5562.6,5597.6,failed: Fundamentals,KEI Industries shares up 5% as Q1 profit jumps 40%; board approves ₹700cr capacity expansion - Moneycontrol.com
2026-08-21,GULFOILLUB,4,DROP,False,False,True,True,1139.9,1129.0,1150.8,1161.7,"failed: Trend & RS, Fundamentals",Copy of Newspaper Publication
2026-08-21,FACT,4,DROP,False,False,True,True,783.3,771.0,795.6,807.9,"failed: Trend & RS, Fundamentals",Fertilizers and Chemicals Travancore Share: PSU Buy in 2026? - Univest
2026-08-21,GRAPHITE,4,DROP,True,False,True,True,710.75,703.41,718.09,725.43,failed: Fundamentals,GRAPHITE Forecast — Price Target — Prediction for 2027 - TradingView
2026-08-21,TATATECH,4,DROP,True,False,True,True,820.75,805.95,835.55,850.35,failed: Fundamentals,Tata Technologies Limited's (NSE:TATATECH) Price Is Out Of Tune With Earnings - simplywall.st
2026-08-21,ASKAUTOLTD,4,DROP,True,False,True,True,621.15,606.37,635.93,650.7,failed: Fundamentals,ASKAUTOLTD Forecast — Price Target — Prediction for 2027 - TradingView
2026-08-21,SYRMA,4,DROP,True,False,True,True,1439.3,1415.7,1462.9,1486.5,failed: Fundamentals,Syrma SGS Technology Limited Beat Revenue Forecasts By 16%: Here's What Analysts Are Forecasting Next - simplywall.st
2026-08-21,GARUDA,4,DROP,False,False,False,True,183.95,180.01,187.89,191.83,"failed: Trend & RS, Fundamentals, Risk",Garuda Construction and Engineering share: EPC Infrastructure Buy in 2026? - Univest
2026-08-21,PANAMAPET,4,DROP,True,False,False,True,485.2,456.45,513.95,542.7,"failed: Fundamentals, Risk",Additional Considerations Required While Assessing Panama Petrochem's (NSE:PANAMAPET) Strong Earnings - simplywall.st
2026-08-21,LALPATHLAB,4,DROP,True,False,True,True,1894.2,1870.1,1918.3,1942.4,failed: Fundamentals,General Updates
2026-08-21,NAVINFLUOR,4,DROP,True,False,True,True,8206.5,8058.62,8354.38,8502.27,failed: Fundamentals,NAVINFLUOR Forecast — Price Target — Prediction for 2027 - TradingView
2026-08-21,BAJFINANCE,4,DROP,True,False,True,True,1095.0,1070.8,1119.2,1143.4,failed: Fundamentals,BAJFINANCE Forecast — Price Target — Prediction for 2027 - TradingView
2026-08-21,PARADEEP,4,DROP,False,True,True,True,148.48,145.07,151.89,155.3,failed: Trend & RS,Action(s) initiated or orders passed
2026-08-21,ASHOKLEY,4,DROP,False,False,True,True,173.0,169.75,176.25,179.5,"failed: Trend & RS, Fundamentals",Analysts/Institutional Investor Meet/Con. Call Updates
2026-08-21,M&M,4,DROP,False,True,True,True,3412.2,3371.1,3453.3,3494.4,failed: Trend & RS,Analysts/Institutional Investor Meet/Con. Call Updates
2026-08-21,OLECTRA,4,DROP,False,False,True,True,1318.4,1284.0,1352.8,1387.2,"failed: Trend & RS, Fundamentals",Analysts/Institutional Investor Meet/Con. Call Updates
2026-08-21,BLUEJET,4,DROP,False,False,False,True,596.15,578.55,613.75,631.35,"failed: Trend & RS, Fundamentals, Risk",Copy of Newspaper Publication
2026-08-21,KEC,4,DROP,False,False,True,True,435.95,418.0,453.9,471.85,"failed: Trend & RS, Fundamentals",Shareholders meeting
2026-08-21,BAJAJHLDNG,4,DROP,False,False,True,True,11320.0,11211.0,11429.0,11538.0,"failed: Trend & RS, Fundamentals",Bajaj Holdings & Investment Ltd. Price Action: 3.64% Rise - Univest
2026-08-21,AARTIDRUGS,4,DROP,False,False,True,True,417.4,404.5,430.3,443.2,"failed: Trend & RS, Fundamentals",Investors Don't See Light At End Of Aarti Drugs Limited's (NSE:AARTIDRUGS) Tunnel And Push Stock Down 25% - simplywall.st
